model,year,price,mileage,engineSize,Make
1,2018,22000,29477,2.0,0
5,2016,17800,60551,2.0,0
1,2017,19800,42071,2.0,0
9,2014,19500,55774,3.0,0
0,2016,9800,36462,1.6,0
3,2016,15500,25376,1.4,0
2,2017,16800,39388,2.0,0
3,2017,11500,64207,2.0,0
0,2017,12100,49221,1.4,0
0,2017,12700,27179,1.6,0
2,2014,11700,31376,2.0,0
6,2015,11500,62668,2.0,0
2,2017,17400,10001,1.4,0
1,2016,16000,52544,2.0,0
2,2016,13100,63097,2.0,0
1,2016,14700,72967,2.0,0
6,2017,21100,32771,2.0,0
4,2018,24400,13303,2.0,0
3,2019,18750,2752,1.5,0
4,2016,16500,23307,2.0,0
0,2017,11000,34551,1.0,0
3,2017,13400,25457,1.6,0
8,2018,20000,12167,1.4,0
1,2015,15400,23237,2.0,0
4,2016,15500,11863,2.0,0
2,2017,14800,21225,2.0,0
1,2015,17100,32083,2.0,0
5,2017,25750,17039,2.0,0
2,2016,11750,72026,2.0,0
0,2017,11200,34824,1.0,0
0,2017,12800,20351,1.4,0
2,2017,16000,58028,2.0,0
6,2017,20000,44783,2.0,0
2,2014,11950,60604,2.0,0
2,2013,9400,39998,2.0,0
2,2017,20000,20852,2.0,0
1,2016,13300,79728,2.0,0
1,2017,18500,29095,2.0,0
3,2013,8300,98940,1.6,0
0,2016,13500,22780,1.4,0
6,2018,19800,20832,2.0,0
4,2016,15400,29196,2.0,0
2,2017,13900,14392,1.4,0
2,2018,15600,20070,1.4,0
1,2016,16200,89334,3.0,0
0,2016,10600,21428,1.0,0
2,2016,14300,45485,2.0,0
4,2016,14700,32704,2.0,0
4,2018,19100,42209,2.0,0
2,2017,18100,17278,1.4,0
0,2017,11400,29515,1.0,0
3,2014,11600,43662,2.0,0
2,2017,17300,45225,2.0,0
1,2017,16400,45491,2.0,0
5,2014,17100,52267,2.0,0
3,2014,11498,40807,1.8,0
4,2014,11698,65959,2.0,0
5,2014,18998,47648,2.0,0
5,2017,25498,27948,2.0,0
2,2013,10498,31169,1.8,0
2,2013,9498,42011,2.0,0
1,2015,19998,56115,3.0,0
1,2015,16798,65835,2.0,0
1,2017,23998,63383,3.0,0
5,2017,36998,34011,3.0,0
6,2014,13998,52132,3.0,0
2,2015,15995,38787,2.0,0
0,2017,13495,34554,1.4,0
5,2017,30985,17502,2.0,0
10,2019,29485,3000,2.0,0
1,2015,16985,34646,2.0,0
5,2017,26485,18000,2.0,0
4,2018,23985,17085,1.4,0
0,2017,12485,48166,1.6,0
5,2015,22485,38421,2.0,0
6,2015,16498,46637,2.0,0
3,2016,11998,24468,1.6,0
5,2017,24985,29343,2.0,0
3,2019,17985,8449,1.6,0
6,2017,20485,34679,2.0,0
3,2018,16985,23860,1.0,0
2,2018,30985,21009,3.0,0
1,2019,29985,1881,2.0,0
1,2019,27985,688,2.0,0
1,2019,30985,1863,2.0,0
11,2020,62985,10,3.0,0
12,2016,44985,49050,4.0,0
2,2019,28985,1024,2.0,0
2,2019,24985,448,2.0,0
2,2019,26985,476,2.0,0
9,2019,39985,5201,3.0,0
3,2019,21985,2028,1.5,0
1,2019,45485,3241,3.0,0
5,2019,33985,355,2.0,0
6,2019,28985,18,2.0,0
3,2019,29985,3122,1.5,0
8,2019,28985,824,1.5,0
1,2019,31985,2811,2.0,0
1,2019,31985,27,2.0,0
2,2019,29485,4254,2.0,0
0,2019,17985,2252,1.0,0
8,2019,20985,3422,1.6,0
8,2019,23685,37,1.6,0
2,2019,27985,7299,2.0,0
8,2019,27985,1414,1.5,0
5,2019,36985,5135,2.0,0
5,2019,37985,6024,2.0,0
5,2020,37985,10,2.0,0
11,2019,49985,10,3.0,0
11,2019,59995,10,3.0,0
5,2020,47895,10,2.0,0
2,2020,31985,10,2.0,0
11,2015,29985,47606,3.0,0
0,2015,12485,26625,1.4,0
6,2018,24985,5071,2.0,0
6,2015,21985,28011,3.0,0
4,2019,34985,10,2.0,0
6,2019,29985,10,2.0,0
4,2019,34485,10,2.0,0
0,2019,19685,10,1.0,0
2,2019,34985,10,2.0,0
9,2019,43885,10,3.0,0
1,2019,35895,2000,2.0,0
8,2019,26985,10,1.5,0
1,2019,46985,3510,3.0,0
3,2019,23985,10,1.5,0
6,2019,28985,10,2.0,0
6,2019,27985,1010,2.0,0
1,2019,28985,500,2.0,0
2,2019,29985,10,2.0,0
3,2019,21995,10,1.6,0
6,2019,31985,10,2.0,0
6,2019,32485,10,2.0,0
3,2019,21285,10,1.6,0
11,2019,56985,1510,3.0,0
13,2019,43785,10,2.5,0
2,2016,18498,29845,2.0,0
3,2014,14995,27355,1.8,0
2,2016,17998,20885,2.0,0
3,2014,10985,10534,1.2,0
3,2016,12995,25895,2.0,0
0,2016,11495,32867,1.0,0
5,2015,18295,42793,2.0,0
1,2015,18998,49039,3.0,0
8,2017,18485,22501,1.6,0
14,2017,38985,1420,3.0,0
6,2019,29485,10,2.0,0
6,2017,22998,26939,2.0,0
14,2014,18998,24786,3.0,0
2,2017,17698,18761,1.4,0
6,2019,27995,10,2.0,0
4,2019,31985,10,2.0,0
2,2019,30995,10,2.0,0
3,2017,18998,22295,1.4,0
8,2017,16995,18068,1.4,0
3,2018,19995,25000,1.5,0
8,2017,14495,23043,1.0,0
6,2014,12998,80902,2.0,0
2,2019,32485,10,2.0,0
0,2019,20485,10,1.0,0
4,2019,34485,10,2.0,0
4,2016,18698,26474,2.0,0
5,2013,15998,65458,3.0,0
10,2018,16498,34170,1.8,0
5,2019,31998,100,2.0,0
4,2019,35985,650,2.0,0
5,2019,37985,10,2.0,0
5,2019,31998,10,2.0,0
2,2019,18998,2928,2.0,0
4,2018,19485,7157,1.4,0
4,2016,19995,31600,2.0,0
11,2016,47995,46600,4.0,0
3,2019,23485,10,2.0,0
6,2018,23998,14078,2.0,0
6,2015,17998,13312,2.0,0
1,2018,28985,10,2.0,0
12,2015,46000,20982,4.0,0
1,2018,26995,15600,2.0,0
1,2019,33985,5429,2.0,0
8,2019,30985,2710,1.5,0
11,2019,52985,6423,3.0,0
0,2017,12698,11017,1.0,0
4,2017,17298,16908,1.4,0
2,2017,16498,28801,2.0,0
2,2017,16798,23362,1.4,0
5,2013,15998,50025,2.0,0
15,2018,63985,8450,3.0,0
1,2018,27985,1790,2.0,0
2,2018,19485,10,1.4,0
2,2018,20985,10,1.4,0
3,2018,22285,6754,1.6,0
4,2014,14500,35423,2.0,0
3,2017,25000,16703,2.0,0
4,2017,15800,37203,1.4,0
3,2013,13500,44405,2.0,0
4,2014,12000,79389,2.0,0
3,2015,13800,61808,2.0,0
0,2016,11000,10491,1.0,0
3,2018,19995,19000,2.0,0
0,2016,11650,18900,1.0,0
3,2014,11850,50900,2.0,0
1,2013,12495,49000,2.0,0
0,2015,15995,23081,2.0,0
11,2020,82995,826,4.0,0
2,2019,25990,5987,2.0,0
1,2019,30995,2977,2.0,0
5,2019,34985,7573,2.0,0
4,2019,31995,3055,2.0,0
2,2019,29985,22,2.0,0
2,2019,28485,2250,2.0,0
5,2016,21498,20547,2.0,0
5,2019,32895,10,2.0,0
6,2016,22998,18828,3.0,0
5,2019,35998,28,2.0,0
11,2016,29985,38654,3.0,0
3,2014,16485,25764,2.0,0
10,2016,19485,28402,2.0,0
0,2015,13495,17152,1.4,0
3,2016,14995,29775,1.4,0
5,2017,39995,7801,3.0,0
5,2015,22990,60599,3.0,0
0,2017,12495,20670,1.4,0
3,2019,24985,2257,1.6,0
3,2019,24485,4039,1.6,0
3,2016,16485,21241,1.4,0
4,2016,20485,16945,2.0,0
2,2018,24985,18010,1.4,0
2,2017,19995,29653,2.0,0
6,2014,16000,75159,3.0,0
4,2014,14998,33842,2.0,0
3,2015,13995,42977,2.0,0
2,2019,27990,26,2.0,0
0,2016,11995,17454,1.0,0
3,2018,15995,17547,1.5,0
3,2020,35995,314,2.0,0
0,2016,13585,25010,1.4,0
1,2019,31985,3278,2.0,0
9,2019,32985,1285,3.0,0
1,2019,30985,4445,2.0,0
2,2020,34798,6998,2.0,0
2,2020,40780,6746,2.0,0
11,2015,34995,21245,3.0,0
2,2017,18995,27394,2.0,0
0,2016,12995,29283,1.0,0
0,2016,14495,20905,1.4,0
0,2017,12995,24386,1.0,0
10,2017,24995,11621,2.0,0
3,2019,20985,3409,1.5,0
5,2016,31995,30172,3.0,0
2,2015,13995,27016,2.0,0
2,2020,31985,7456,2.0,0
1,2019,29490,20,3.0,0
2,2019,20495,4781,2.0,0
4,2016,21995,40254,2.0,0
10,2019,24995,12320,2.0,0
8,2018,23995,16534,1.4,0
4,2017,22995,20075,2.0,0
3,2016,15995,14401,1.0,0
3,2016,19995,19430,2.0,0
16,2013,26995,28359,4.2,0
15,2019,49995,16385,3.0,0
0,2014,11995,24764,1.6,0
0,2014,11995,26141,1.4,0
6,2020,37331,7532,2.0,0
6,2020,39454,7925,2.0,0
6,2020,37507,7639,2.0,0
4,2020,33462,7914,2.0,0
5,2018,30995,15706,2.0,0
2,2019,25990,4598,2.0,0
14,2018,38995,6588,3.0,0
11,2016,31995,48248,3.0,0
3,2019,30995,4549,2.0,0
0,2019,18995,7564,1.0,0
14,2018,41995,11276,3.0,0
2,2016,19995,20141,2.0,0
3,2016,16995,16555,1.4,0
0,2017,14495,8608,1.0,0
4,2017,19995,18380,1.4,0
4,2017,23995,27136,2.0,0
3,2016,13995,36409,1.4,0
1,2017,27995,35219,3.0,0
5,2018,33995,10252,2.0,0
3,2018,17490,16380,1.6,0
3,2015,14990,30530,2.0,0
5,2016,30995,37129,3.0,0
3,2017,13995,36400,1.4,0
11,2018,47995,8618,3.0,0
8,2018,21995,9634,1.4,0
8,2017,19995,18355,1.6,0
5,2017,26995,28604,2.0,0
0,2017,15995,15187,1.6,0
6,2015,18990,43417,2.0,0
14,2018,35995,12195,3.0,0
6,2018,27995,12686,3.0,0
0,2019,23995,5356,1.5,0
2,2020,31265,7963,2.0,0
6,2020,36312,7423,2.0,0
0,2017,13995,12148,1.0,0
5,2016,31995,44525,3.0,0
4,2016,18495,20952,2.0,0
1,2019,33490,4582,3.0,0
5,2014,19995,36970,2.0,0
4,2015,17995,38244,1.4,0
11,2015,31995,26407,3.0,0
8,2019,23995,6484,1.6,0
3,2019,20995,3325,1.6,0
4,2017,24995,9078,2.0,0
0,2017,12995,22427,1.0,0
2,2015,14995,41755,2.0,0
3,2015,12490,35455,1.4,0
3,2017,14298,14607,1.0,0
0,2016,11498,24952,1.4,0
6,2014,11998,49640,2.0,0
4,2017,19998,21576,1.4,0
5,2017,27995,20870,2.0,0
2,2017,19995,30300,2.0,0
4,2016,19995,22353,2.0,0
4,2016,19995,23205,2.0,0
0,2017,13995,15361,1.4,0
1,2019,29995,8598,2.0,0
3,2019,19990,6000,1.6,0
3,2019,19990,5199,1.6,0
0,2018,14995,15092,1.4,0
3,2017,36990,3059,2.0,0
10,2016,24995,28475,2.0,0
3,2013,11490,35804,1.4,0
3,2017,18495,24000,1.4,0
11,2019,46990,3264,3.0,0
3,2019,23995,2868,1.6,0
2,2019,27990,6541,2.0,0
5,2019,36990,4511,2.0,0
4,2017,18995,27057,1.4,0
2,2013,12990,42185,2.0,0
5,2015,17995,59120,2.0,0
6,2016,16498,41431,2.0,0
5,2019,31998,30,2.0,0
5,2019,36995,5065,2.0,0
5,2019,36995,4638,2.0,0
12,2017,57995,34926,4.0,0
8,2018,22890,4642,1.6,0
1,2015,16995,29558,2.0,0
1,2019,33298,4899,2.0,0
3,2017,15995,17000,1.4,0
2,2017,20995,51204,2.0,0
3,2013,14995,38776,1.4,0
4,2017,19995,21972,1.4,0
10,2018,39995,17648,2.5,0
8,2017,22995,5674,1.4,0
6,2017,24995,22086,2.0,0
14,2019,39995,10090,3.0,0
4,2015,19995,20825,1.4,0
0,2015,12995,20042,1.4,0
8,2019,22663,3657,1.6,0
8,2019,24368,4502,1.6,0
2,2017,19495,31214,2.0,0
8,2018,19990,16414,1.4,0
8,2018,21495,27198,1.4,0
3,2018,28995,17166,2.0,0
3,2018,26990,18283,2.0,0
5,2018,27995,15076,2.0,0
5,2017,25995,29330,2.0,0
8,2017,19995,25520,1.4,0
2,2020,38534,7521,2.0,0
9,2019,41995,933,2.0,0
3,2019,19990,6018,1.6,0
3,2019,18495,11330,1.5,0
5,2016,33995,23478,3.0,0
8,2017,18995,17872,1.6,0
6,2019,30709,4327,2.0,0
11,2019,48136,4813,3.0,0
8,2019,24365,3578,1.6,0
1,2019,33295,4196,2.0,0
0,2015,13995,32065,1.4,0
14,2017,28995,15072,3.0,0
4,2017,16490,50286,2.0,0
4,2017,23995,25667,2.0,0
11,2017,35995,33165,3.0,0
8,2017,19995,27078,1.4,0
8,2017,19995,29874,1.4,0
5,2015,21995,28977,2.0,0
4,2016,21995,28526,2.0,0
4,2017,22995,14068,2.0,0
3,2018,18990,6321,2.0,0
14,2018,40990,4440,3.0,0
3,2019,23995,2085,1.6,0
5,2019,37995,2712,2.0,0
1,2019,33410,3968,2.0,0
8,2019,22997,6921,1.0,0
3,2015,14995,50062,1.2,0
0,2015,11995,31500,1.4,0
0,2015,12995,21807,1.4,0
6,2019,27990,7215,2.0,0
1,2019,29990,5397,2.0,0
3,2019,23377,4963,1.5,0
3,2017,25995,13688,2.0,0
3,2017,18995,19735,1.4,0
4,2017,20995,22175,1.4,0
2,2018,23995,13907,1.4,0
0,2018,14495,20106,1.0,0
5,2018,30995,7891,2.0,0
2,2019,26490,4836,2.0,0
6,2019,34259,4587,2.0,0
6,2019,35131,5721,2.0,0
11,2019,50414,4236,3.0,0
5,2015,21995,18188,2.0,0
6,2016,16995,41497,2.0,0
0,2016,14995,13961,1.4,0
1,2019,30990,10852,2.0,0
3,2019,18490,10059,1.5,0
3,2019,18490,5985,1.5,0
2,2019,26490,6214,2.0,0
17,2019,59995,5089,2.9,0
8,2019,24995,2756,1.0,0
1,2019,29490,4982,2.0,0
2,2016,17495,41505,2.0,0
4,2017,20995,26494,1.4,0
0,2017,14495,23655,1.4,0
17,2019,58995,3382,2.9,0
3,2018,19995,17789,1.5,0
1,2019,33640,5023,2.0,0
1,2019,53939,6238,3.0,0
6,2019,30719,4520,2.0,0
6,2019,30197,5210,2.0,0
6,2019,27022,3256,2.0,0
2,2019,37560,5201,2.0,0
11,2019,49990,28,3.0,0
0,2017,12495,25747,1.0,0
0,2017,14995,27000,1.4,0
5,2016,24490,51562,3.0,0
3,2016,13995,40030,1.6,0
1,2016,19495,43099,2.0,0
8,2017,17995,18842,1.0,0
2,2016,19995,31894,3.0,0
6,2019,30728,5712,2.0,0
6,2015,18995,38540,2.0,0
0,2017,13995,25552,1.4,0
9,2015,18495,72283,3.0,0
5,2016,34995,22809,3.0,0
3,2017,19995,16103,2.0,0
0,2016,13495,23745,1.4,0
10,2016,16995,29593,2.0,0
0,2014,13995,15300,1.4,0
4,2018,25995,9185,1.4,0
8,2019,25995,1592,1.5,0
0,2016,10995,45644,1.6,0
15,2019,48995,4488,3.0,0
5,2016,33995,29156,3.0,0
0,2015,12298,15837,1.4,0
4,2016,15998,15264,2.0,0
8,2018,18998,8211,1.6,0
8,2017,21995,10962,1.4,0
5,2016,28995,42187,3.0,0
0,2017,15995,8128,1.4,0
2,2016,13985,55697,2.0,0
4,2015,13995,35446,2.0,0
4,2016,18499,30366,2.0,0
5,2017,27498,32090,2.0,0
4,2015,15998,19300,1.4,0
2,2016,13998,37478,2.0,0
3,2019,24998,6266,2.0,0
0,2016,13995,8577,1.4,0
3,2018,18995,13147,1.6,0
1,2017,22995,24336,2.0,0
8,2018,17495,23813,1.0,0
8,2017,21995,17633,1.4,0
1,2015,16995,55220,2.0,0
5,2017,22995,47952,2.0,0
5,2014,19995,50500,3.0,0
0,2016,15495,31147,1.4,0
8,2019,25998,79,2.0,0
6,2015,14500,56875,2.0,0
6,2015,18995,37056,2.0,0
13,2018,39995,5431,2.5,0
0,2016,13995,31031,1.4,0
2,2015,17995,34906,3.0,0
2,2017,21995,14821,3.0,0
0,2016,15495,15307,1.4,0
2,2016,19995,23626,2.0,0
0,2016,12995,11892,1.0,0
0,2016,12995,42165,1.4,0
3,2019,31795,3036,2.0,0
2,2019,39995,2703,3.0,0
11,2016,48995,41032,4.0,0
3,2018,21495,8545,1.6,0
3,2016,13498,30287,1.4,0
3,2016,14998,1893,1.4,0
2,2017,16998,6896,1.4,0
10,2016,15498,34084,2.0,0
2,2017,13985,84222,2.0,0
3,2015,10385,68428,1.6,0
5,2018,37500,20283,3.0,0
2,2016,11500,56235,2.0,0
14,2017,24500,37492,3.0,0
5,2015,21500,66959,3.0,0
5,2014,16000,46622,2.0,0
1,2013,11995,40003,2.0,0
5,2018,38900,20300,3.0,0
6,2019,24498,50,2.0,0
8,2016,19995,23426,1.4,0
3,2015,14995,46465,1.4,0
5,2018,29995,14600,2.0,0
0,2019,23995,3232,1.0,0
0,2017,15995,16086,1.4,0
0,2017,13995,15981,1.4,0
9,2018,38995,6850,3.0,0
3,2017,18995,16668,1.6,0
9,2018,35995,13082,3.0,0
3,2019,18995,10522,1.5,0
3,2018,19995,12795,1.0,0
5,2018,34995,8250,2.0,0
8,2019,23995,5859,1.6,0
2,2019,37995,8235,2.0,0
4,2019,35995,5356,2.0,0
1,2019,34995,5565,2.0,0
2,2017,16498,13122,1.4,0
8,2019,26495,2940,1.5,0
5,2016,21995,26500,2.0,0
14,2020,52995,1100,3.0,0
5,2018,30995,24408,2.0,0
16,2020,69995,2200,2.9,0
9,2020,51995,500,3.0,0
2,2016,21995,47600,2.0,0
3,2018,22995,17252,1.5,0
6,2017,19945,49287,2.0,0
6,2017,22945,47446,2.0,0
6,2017,22990,14589,2.0,0
2,2016,13995,41279,2.0,0
11,2018,60995,3893,4.0,0
14,2017,38995,3338,3.0,0
5,2018,42995,4286,3.0,0
5,2018,28995,22913,2.0,0
5,2019,36995,4125,2.0,0
4,2019,34995,4000,2.0,0
5,2019,38495,5123,2.0,0
2,2019,43495,5000,3.0,0
6,2019,34995,6500,2.0,0
5,2017,35995,29832,3.0,0
8,2017,21495,11125,1.4,0
5,2019,36995,11565,2.0,0
3,2019,22995,10434,1.5,0
3,2016,11990,61332,2.0,0
0,2016,11498,22669,1.4,0
4,2016,19498,14419,2.0,0
0,2015,10698,37458,1.4,0
0,2014,11998,23015,1.4,0
1,2016,22500,26784,2.0,0
5,2019,35995,7256,2.0,0
10,2016,17995,24256,1.8,0
2,2018,28995,11047,2.0,0
2,2017,22995,19444,2.0,0
4,2017,17995,30123,1.4,0
2,2019,25995,7422,2.0,0
2,2016,24495,40688,2.0,0
4,2019,38995,5454,2.0,0
3,2019,19995,12785,1.5,0
1,2019,42995,7486,3.0,0
6,2019,36995,9256,2.0,0
2,2019,29995,13690,2.0,0
4,2016,20495,25125,2.0,0
5,2019,34995,6400,2.0,0
3,2019,19495,3265,1.0,0
4,2017,22995,17680,2.0,0
0,2016,11995,38502,1.4,0
0,2016,12995,36276,1.4,0
11,2017,49995,23437,4.0,0
5,2017,25995,20364,2.0,0
0,2016,11995,22606,1.4,0
2,2020,29995,100,2.0,0
16,2019,52995,8503,2.9,0
8,2019,28995,1296,2.0,0
6,2016,16995,26307,2.0,0
11,2016,33995,34685,3.0,0
6,2016,18995,34728,2.0,0
0,2017,14995,24427,1.4,0
0,2017,12995,16763,1.4,0
8,2017,15995,38484,1.0,0
11,2017,52995,16837,4.0,0
8,2017,19995,33523,2.0,0
2,2017,17298,6402,1.4,0
2,2016,15998,21944,2.0,0
10,2015,16498,19383,2.0,0
1,2019,25998,19118,2.0,0
4,2019,38995,4436,2.0,0
15,2019,83995,5978,4.0,0
0,2019,19995,2235,1.0,0
4,2016,16995,52496,2.0,0
1,2016,18350,52255,2.0,0
3,2018,15590,19686,1.6,0
11,2016,12500,26705,3.0,0
0,2016,12500,26705,1.4,0
0,2018,12500,18120,1.4,0
4,2016,18000,11966,1.4,0
3,2016,14500,34728,1.4,0
3,2018,16995,30547,1.6,0
3,2015,13795,72406,2.0,0
1,2017,19995,52822,2.0,0
1,2015,18990,70228,3.0,0
3,2017,15795,21637,2.0,0
4,2014,12595,52006,2.0,0
4,2016,20495,28994,2.0,0
1,2018,37995,30,3.0,0
5,2019,35995,7093,2.0,0
8,2020,35495,1934,2.0,0
2,2019,28995,4708,2.0,0
4,2019,38995,4304,2.0,0
8,2017,19495,9256,1.4,0
4,2018,27995,11403,1.5,0
0,2019,23995,1952,1.0,0
1,2019,41995,8060,3.0,0
1,2018,31700,7415,2.0,0
14,2018,42000,9756,3.0,0
6,2018,33500,9102,3.0,0
5,2018,31000,6002,2.0,0
11,2018,45000,6591,3.0,0
8,2019,22495,1000,1.6,0
3,2019,21995,5450,1.5,0
8,2019,29809,1000,2.0,0
6,2019,31995,1000,2.0,0
2,2016,18000,23596,2.0,0
11,2018,55500,11719,4.0,0
5,2019,31500,3185,2.0,0
5,2019,30995,8744,2.0,0
1,2019,32250,238,2.0,0
6,2019,31695,4693,2.0,0
4,2016,19000,28186,2.0,0
4,2016,16995,37000,2.0,0
0,2017,14695,13555,1.4,0
5,2016,31495,31031,3.0,0
4,2016,17395,34500,2.0,0
5,2019,33995,6412,2.0,0
3,2017,17500,14500,1.4,0
0,2017,11495,24857,1.6,0
1,2019,32494,2394,2.0,0
5,2019,36202,1000,2.0,0
5,2019,37395,1000,2.0,0
1,2019,31000,1000,2.0,0
14,2018,37000,10296,3.0,0
3,2018,20000,6629,1.5,0
2,2019,26495,6768,2.0,0
2,2019,23995,5363,2.0,0
9,2019,42500,4288,3.0,0
3,2014,7898,88130,2.0,0
11,2017,50000,17927,4.0,0
6,2019,29000,6452,2.0,0
9,2019,41495,6112,3.0,0
2,2019,25995,7447,2.0,0
5,2019,35995,4326,2.0,0
11,2019,49995,5558,3.0,0
1,2019,31500,2408,2.0,0
8,2019,23995,4430,1.5,0
8,2019,23374,1000,1.6,0
8,2019,22495,1000,1.6,0
0,2016,11495,8000,1.0,0
2,2017,19995,29885,2.0,0
3,2017,17695,14160,1.6,0
6,2019,27995,21480,2.0,0
1,2019,46000,6606,3.0,0
4,2017,23998,12147,2.0,0
3,2017,12798,29998,1.4,0
4,2016,17698,22168,1.4,0
0,2016,10998,24242,1.0,0
3,2017,19698,18389,1.5,0
1,2016,17298,31759,2.0,0
2,2019,24998,12853,2.0,0
2,2019,24998,13009,2.0,0
8,2019,25998,17,2.0,0
6,2015,14998,32125,2.0,0
10,2015,15998,17416,2.0,0
6,2017,19498,27049,2.0,0
4,2014,11950,81877,2.0,0
4,2016,16998,27692,1.4,0
4,2015,13995,35446,2.0,0
1,2015,16995,45000,2.0,0
8,2018,22590,6672,2.0,0
8,2018,20498,10005,1.4,0
2,2019,18998,2069,2.0,0
6,2019,25998,24608,2.0,0
3,2017,16495,36031,1.4,0
0,2017,13998,28752,1.4,0
0,2014,8498,58601,1.4,0
3,2017,19998,21113,1.5,0
4,2015,13998,66047,2.0,0
1,2016,17498,24405,2.0,0
1,2015,14995,43193,2.0,0
8,2017,16500,22379,1.4,0
1,2014,18498,36223,3.0,0
10,2016,14998,39293,2.0,0
14,2018,33498,13512,3.0,0
0,2015,9698,61194,1.0,0
2,2017,14849,58670,2.0,0
0,2016,10994,36951,1.0,0
3,2014,10202,34250,1.4,0
2,2016,15495,32811,2.0,0
1,2017,22695,31842,2.0,0
0,2016,11695,22373,1.4,0
4,2017,17495,34617,2.0,0
4,2015,14495,48065,2.0,0
2,2017,17795,26752,2.0,0
8,2018,18695,12300,1.4,0
1,2016,20000,24000,2.0,0
10,2015,13998,61410,2.0,0
1,2015,17498,57290,2.0,0
8,2017,16495,18045,1.0,0
3,2017,15498,13542,1.6,0
5,2016,29998,38678,3.0,0
6,2017,21498,19608,2.0,0
4,2019,29695,8849,2.0,0
0,2015,10995,13854,1.4,0
0,2017,10495,37131,1.0,0
1,2014,14998,60484,2.0,0
6,2015,16998,71253,3.0,0
4,2016,18998,32968,2.0,0
